Datetime,Close,High,Low,Open,Volume,extracted_at,ticker
2026-08-11 09:30:00-04:00,41.349998474121094,41.38999938964844,41.150001525878906,41.22999954223633,42398,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 09:35:00-04:00,41.349998474121094,41.43000030517578,41.34000015258789,41.38999938964844,49613,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 09:40:00-04:00,41.31999969482422,41.380001068115234,41.18000030517578,41.36000061035156,98488,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 09:45:00-04:00,41.35499954223633,41.400001525878906,41.29999923706055,41.31999969482422,72583,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 09:50:00-04:00,41.400001525878906,41.47999954223633,41.31999969482422,41.349998474121094,35220,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 09:55:00-04:00,41.439998626708984,41.470001220703125,41.38999938964844,41.41999816894531,22990,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 10:00:00-04:00,41.4900016784668,41.529998779296875,41.439998626708984,41.45000076293945,33641,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 10:05:00-04:00,41.439998626708984,41.54999923706055,41.400001525878906,41.5,25912,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 10:10:00-04:00,41.4900016784668,41.529998779296875,41.43000030517578,41.43000030517578,22000,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 10:15:00-04:00,41.630001068115234,41.63999938964844,41.47999954223633,41.5,30412,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 10:20:00-04:00,41.54999923706055,41.63999938964844,41.529998779296875,41.630001068115234,26050,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 10:25:00-04:00,41.599998474121094,41.630001068115234,41.55500030517578,41.56999969482422,29996,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 10:30:00-04:00,41.58000183105469,41.63999938964844,41.540000915527344,41.59000015258789,26481,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 10:35:00-04:00,41.560001373291016,41.599998474121094,41.540000915527344,41.56999969482422,18487,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 10:40:00-04:00,41.630001068115234,41.630001068115234,41.560001373291016,41.56999969482422,22517,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 10:45:00-04:00,41.599998474121094,41.63999938964844,41.54999923706055,41.63999938964844,33906,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 10:50:00-04:00,41.654998779296875,41.709999084472656,41.61000061035156,41.61000061035156,39612,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 10:55:00-04:00,41.81999969482422,41.81999969482422,41.650001525878906,41.650001525878906,25174,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 11:00:00-04:00,41.849998474121094,41.86000061035156,41.779998779296875,41.82500076293945,40732,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 11:05:00-04:00,41.86000061035156,41.88999938964844,41.81999969482422,41.849998474121094,26242,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 11:10:00-04:00,41.869998931884766,41.88999938964844,41.79499816894531,41.86000061035156,44305,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 11:15:00-04:00,41.849998474121094,41.880001068115234,41.83000183105469,41.869998931884766,22566,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 11:20:00-04:00,41.790000915527344,41.869998931884766,41.790000915527344,41.849998474121094,22800,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 11:25:00-04:00,41.79999923706055,41.814998626708984,41.77000045776367,41.790000915527344,25142,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 11:30:00-04:00,41.88999938964844,41.88999938964844,41.790000915527344,41.79999923706055,28887,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 11:35:00-04:00,41.880001068115234,41.91999816894531,41.869998931884766,41.88999938964844,19650,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 11:40:00-04:00,41.939998626708984,41.94499969482422,41.880001068115234,41.880001068115234,37412,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 11:45:00-04:00,41.90999984741211,41.939998626708984,41.88999938964844,41.939998626708984,25344,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 11:50:00-04:00,41.88999938964844,41.939998626708984,41.88999938964844,41.90999984741211,17988,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 11:55:00-04:00,41.790000915527344,41.90999984741211,41.790000915527344,41.88999938964844,42937,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 12:00:00-04:00,41.65999984741211,41.790000915527344,41.650001525878906,41.790000915527344,18194,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 12:05:00-04:00,41.7400016784668,41.755001068115234,41.65999984741211,41.65999984741211,30100,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 12:10:00-04:00,41.720001220703125,41.7599983215332,41.689998626708984,41.72999954223633,28326,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 12:15:00-04:00,41.7400016784668,41.7400016784668,41.66999816894531,41.720001220703125,15006,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 12:20:00-04:00,41.709999084472656,41.7400016784668,41.70000076293945,41.73500061035156,10475,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 12:25:00-04:00,41.619998931884766,41.709999084472656,41.619998931884766,41.70000076293945,22500,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 12:30:00-04:00,41.619998931884766,41.63999938964844,41.58000183105469,41.61000061035156,20013,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 12:35:00-04:00,41.650001525878906,41.67499923706055,41.630001068115234,41.630001068115234,17498,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 12:40:00-04:00,41.619998931884766,41.650001525878906,41.61000061035156,41.650001525878906,9948,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 12:45:00-04:00,41.599998474121094,41.61000061035156,41.58000183105469,41.61000061035156,17450,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 12:50:00-04:00,41.58000183105469,41.599998474121094,41.560001373291016,41.599998474121094,9175,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 12:55:00-04:00,41.560001373291016,41.56999969482422,41.53499984741211,41.56999969482422,14250,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 13:00:00-04:00,41.56999969482422,41.56999969482422,41.52000045776367,41.560001373291016,9980,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 13:05:00-04:00,41.56999969482422,41.599998474121094,41.560001373291016,41.58000183105469,23900,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 13:10:00-04:00,41.59000015258789,41.599998474121094,41.560001373291016,41.560001373291016,15286,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 13:15:00-04:00,41.540000915527344,41.59000015258789,41.540000915527344,41.59000015258789,12750,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 13:20:00-04:00,41.5099983215332,41.54999923706055,41.4900016784668,41.540000915527344,22566,2026-08-11 18:2610.484513,CVE.TO
2026-08-11 13:25:00-04:00,41.529998779296875,41.53499984741211,41.5099983215332,41.5099983215332,11600,2026-08-11 18:2610.484513,CVE.TO
